Age,28
Gender,male
ID,9022990
Version,1.0

prac1 Time,0,0,0.1581917,0.3306999,0.5306015,0.6151733,0.6984749,0.7589417,0.837101,0.9117165,0.9777565,1.051281,1.121952,1.194382,1.274845,1.348518,1.419922,1.498661,1.569859,1.642921,1.710033,1.781452,1.850067,1.924343,2.002487,2.090145,2.172127,2.260063,2.338558,2.402557,2.469803,2.538841,2.600697,2.667957,2.725895,2.78791,2.856583,2.926991,3.008228,3.114868,3.263042,3.43774,3.617752,3.804268,3.986427,4.177979,4.368446,4.558037,4.748241,4.92424,5.10342,5.28672,5.462963,5.637287,5.799938,5.973431,6.150337,6.324203,6.49382,6.665337,6.844707,7.028442,7.20549,7.378323,7.550968,7.72126,7.906433,8.093258,8.281052,8.481045
prac1 Diamonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
prac1 X Position,0,0.1251476,0.2508958,0.3760434,0.5324779,0.386292,0.2693433,0.1816317,0.05404802,-0.04757336,-0.1698515,-0.2595637,-0.3684758,-0.4867591,-0.6050423,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.6907488,-0.537763,-0.4000757,-0.2623885,-0.1247012,0.01298603,0.1506733,-0.1394914,-0.6119759,-0.8723815,-0.7499928,-0.6123056,-0.4746183,-0.3522297,-0.2145424,-0.5233017,-1.054847,-1.316648,-1.19702,-1.062438,-0.9278563,-0.7783209,-0.6437391,-0.6437391
prac1 Z Position,-80,-79.20985,-78.42355,-77.6334,-76.64571,-76.16756,-75.78504,-75.49815,-75.11904,-74.83678,-74.45592,-74.16965,-73.78477,-73.40266,-73.02055,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-72.73305,-71.74482,-70.85542,-69.966,-69.0766,-68.18719,-67.29779,-66.44585,-65.80028,-64.93877,-64.14819,-63.25879,-62.36938,-61.5788,-60.6894,-59.84401,-59.11775,-58.25667,-57.46566,-56.57578,-55.6859,-54.69715,-53.80727,-53.80727
prac1 Camera Angle,0,9,9,9,9,343,343,343,341.4,340.2,342.2,342.6,344.2,342.8,342.8,343.4,345.2,346.4,347.4,348,348.4,350,350.6,350.6,351.8,351.8,351.6,351.6,351.6,351.6,352.8,353.6,354.4,355.2,355.6,355.6,355.6,355.6,355.6,356.8,2.199999,5.399999,6.999999,7.999999,9.400001,9.8,9.6,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.599999,8.599999,8.599999,8.599999,8.599999,8.399999
prac1 Start Time,1/29/2021 12:03:14 AM
prac1 End Time,1/29/2021 12:03:30 AM

prac2 Time,0,0,0.1675339,0.3450775,0.5225449,0.6913757,0.8643799,1.051735,1.24437,1.421959,1.600365,1.7724,1.942825,2.118835,2.303123,2.482841,2.656219,2.830109,3.013458,3.200211,3.3759,3.55336,3.722549,3.889534,4.061081,4.223343,4.384499,4.550575,4.718307,4.889641,5.07505,5.24929,5.417496,5.591919,5.765114,5.928093,6.100899,6.273048,6.454681,6.657028,6.83342,7.011276,7.183891,7.352005,7.541771,7.703415,7.881569,8.061264,8.25766,8.451294,8.651459,8.836418,9.025124,9.209557,9.381134,9.552864,9.743004,9.94355,10.11577,10.29794,10.46009,10.61921,10.77602,10.9318,11.08754,11.24467,11.41276,11.5709,11.72676,11.88568,12.05808,12.21746,12.38758,12.55733,12.73551,12.91763,13.09892,13.2747,13.4393,13.60358,13.77862,13.94819,14.12159,14.29122,14.47728,14.66076,14.83684,15.01218,15.19566,15.35759,15.5387,15.70146,15.87877,16.05819,16.24483,16.438,16.61803,16.79634,16.97549,17.17847,17.38121,17.59035,17.80437,18.03548,18.22877,18.40522,18.58599,18.76414,18.94111,19.11798,19.29636,19.47478,19.6637,19.84812,20.02815,20.2093,20.38674,20.5647,20.75336,20.92914,21.1067,21.29533,21.48239,21.67632,21.87918,22.06274,22.25251,22.43504,22.61801,22.80653,22.983,23.15652,23.34122,23.52354,23.71545,23.88368,24.06147,24.24229,24.41276,24.58574,24.76357,24.94624,25.11483,25.28567,25.46613,25.64461,25.8171,25.98774,26.1591,26.33859,26.51619,26.68377,26.86012,27.04932,27.23395,27.41943,27.59365,27.77297,27.94854,28.12181,28.29249,28.46571,28.63728,28.81622,29.01866,29.19452,29.37027,29.54168,29.71344,29.88309,30.05468
prac2 Diamonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
prac2 X Position,0,-0.01396194,-0.02801599,-0.04372317,-0.05943035,-0.07513753,-0.08909946,-0.1065519,-0.1222591,-0.1379662,-0.1536734,-0.1693806,-0.1833425,-0.1990497,-0.2147569,-0.2304641,-0.2461713,-0.2618784,-0.2775856,-0.2932928,-0.309,-0.3247072,-0.3386691,-0.3543763,-0.3543763,-0.3543763,-0.3543763,-0.3543763,-0.3543763,-0.3543763,-0.3543763,-0.3543763,-0.3543763,-0.5322679,-0.6903937,-0.8485196,-1.026411,-1.204303,-1.382195,-1.579852,-1.757743,-1.757743,-1.757743,-1.757743,-1.757743,-1.757743,-1.757743,-1.757743,-2.142039,-2.526334,-2.91063,-3.256495,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.55544,-3.10001,-2.695183,-2.340959,-1.936132,-1.480702,-1.075875,-0.6710476,-0.2156172,0.2398132,0.6952437,1.164152,1.656959,2.127187,2.599672,3.131217,3.603702,4.135247,4.666792,5.198337,5.732414,6.279053,6.840544,7.426241,7.955291,8.552824,9.083965,9.681499,10.27903,10.92862,11.70796,12.43049,13.15676,13.88302,14.68998,15.49694,16.39135,17.2262,18.25695,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,19.04864,18.16733,17.37416,16.49286,15.61155,14.81838,14.81838,14.81838,14.81838,14.02521,13.23203,12.43886,11.64569,10.85251,10.11454,9.573,8.963768,8.354534,7.745299,7.203752,6.594543,5.985261,5.376081,4.834539,4.225303,3.616068,3.006833,2.465291,1.856055,1.248117,0.6348233,0.01370759,-0.7609603,-1.607154,-2.190462,-2.747029,-3.306062,-3.865096,-4.284285,-4.284285,-4.284285,-4.284285,-4.284285,-4.284285,-4.284285,-4.284285,-4.284285,-4.284285,-4.284285,-4.284285,-4.284285
prac2 Z Position,-80,-79.20012,-78.4053,-77.50544,-76.60558,-75.70571,-74.90584,-73.90599,-73.00613,-72.10626,-71.2064,-70.30653,-69.50666,-68.6068,-67.70693,-66.80707,-65.90721,-65.00735,-64.10748,-63.20762,-62.30775,-61.40789,-60.60802,-59.70815,-59.70815,-59.70815,-59.70815,-59.70815,-59.70815,-59.70815,-59.70815,-59.70815,-59.70815,-58.82591,-58.04169,-57.25747,-56.37523,-55.49298,-54.61074,-53.63047,-52.74823,-52.74823,-52.74823,-52.74823,-52.74823,-52.74823,-52.74823,-52.74823,-51.82502,-50.90181,-49.9786,-49.14771,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-48.29881,-47.52254,-46.83253,-46.22878,-45.53876,-44.7625,-44.07249,-43.38248,-42.60622,-41.82996,-41.05369,-40.2855,-39.53241,-38.8852,-38.23963,-37.51336,-36.86779,-36.14153,-35.41527,-34.689,-33.9646,-33.24963,-32.54626,-31.86291,-31.26282,-30.58981,-29.99157,-29.31855,-28.64553,-28.0226,-27.396,-26.8594,-26.32785,-25.7963,-25.2057,-24.6151,-23.97476,-23.42428,-22.80983,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.38177,-22.85432,-23.27961,-23.75216,-24.22471,-24.65001,-24.65001,-24.65001,-24.65001,-25.0753,-25.5006,-25.9259,-26.35119,-26.77649,-27.39237,-27.93391,-28.54315,-29.15238,-29.76161,-30.30313,-30.91237,-31.52158,-32.13083,-32.67237,-33.28161,-33.89084,-34.50008,-35.04161,-35.65085,-36.25879,-36.87019,-37.34547,-37.80361,-38.33649,-39.02187,-39.72914,-40.43446,-41.13979,-41.82117,-41.82117,-41.82117,-41.82117,-41.82117,-41.82117,-41.82117,-41.82117,-41.82117,-41.82117,-41.82117,-41.82117,-41.82117
prac2 Camera Angle,0,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,357,352,349,348.6,348.6,348.6,348.6,348.6,348.6,348.6,348.6,348.6,348.6,348.6,348.6,346.4,341.2,337.8,337.4,337.4,337.4,337.4,340.6,349.8,357.4,359.2,0.8000015,1.600002,2.600001,5.000001,9.800002,16,30,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,31.4,33.2,36,36.2,36.2,36.2,36.2,36.2,36.2,36.40001,37.40001,38.60001,40.6,41.40001,41.60001,41.60001,41.60001,41.60001,46.2,51.20001,53.40001,53.80001,53.80001,53.80001,53.80001,54.40001,56.60001,59.20001,61.60001,61.60001,60.40001,58.00002,58.00002,58.00002,58.00002,58.00002,58.00002,58.00002,58.40001,58.60001,59.60001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,61.80001,62.20001,60.80001,59.40001,59.40001,57.80001,40.40001,38.20001,38.40001,38.40001,31.60001,24.60001,24.40001,23.60001,22.00001,19.00001,9.000011,359.4,354.6,353.8,353.8,353.8,353.8,359.2
prac2 Start Time,1/29/2021 12:03:30 AM
prac2 End Time,1/29/2021 12:04:09 AM

prac3 Time,0,0,0.1906204,0.3664474,0.5309372,0.6992798,0.8659515,1.041664,1.220879,1.400604,1.574234,1.749954,1.928871,2.111122,2.286598,2.450485,2.623566,2.789131,2.970963,3.154449,3.345657,3.517326,3.679741,3.844711,4.004166,4.16523,4.338333,4.51104,4.681664,4.851425,5.020325,5.188759,5.365089,5.543388,5.722404,5.910095,6.08844,6.274544,6.463562,6.631798,6.799309,6.966858,7.136353,7.30275,7.481369,7.651566,7.830849,8.001266,8.171852,8.339401,8.516426,8.694557,8.872826,9.0644,9.255371,9.450409,9.64238,9.83062,10.02517,10.22758,10.43302,10.64614,10.85553
prac3 Diamonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
prac3 X Position,0,-0.1159161,-0.2452622,-0.3611782,-0.4642147,-0.5672512,-0.6644506,-0.6030754,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.2141983,-0.6638652,-1.16974,-1.619407,-2.125283,-2.51313,-2.946709,-3.332112,-3.765691,-4.199269,-4.584672,-5.01825,-5.500004,-5.933583,-5.933583,-5.933583,-5.933583,-6.318986,-6.752564,-7.137968,-7.523371,-7.956949,-8.390528,-8.799119,-8.799119,-8.799119,-8.799119,-8.799119,-8.799119,-8.799119,-8.799119,-8.799119,-8.799119,-8.799119,-7.889883,-6.980647,-6.071411,-5.162175,-4.162015,-4.162015
prac3 Z Position,-80,-79.1075,-78.12006,-77.22755,-76.43421,-75.64088,-74.74614,-73.94849,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-73.13685,-72.47518,-71.73081,-71.06915,-70.32478,-69.62508,-68.8364,-68.13536,-67.34668,-66.55801,-65.85696,-65.06828,-64.19198,-63.4033,-63.4033,-63.4033,-63.4033,-62.70226,-61.91358,-61.21254,-60.51149,-59.72281,-58.93414,-58.13223,-58.13223,-58.13223,-58.13223,-58.13223,-58.13223,-58.13223,-58.13223,-58.13223,-58.13223,-58.13223,-57.71595,-57.29967,-56.88339,-56.46711,-56.0092,-56.0092
prac3 Camera Angle,0,352.6,352.6,352.6,352.6,352.6,353.8,4.399999,25.6,38.4,55.6,59.59999,59.59999,59.39999,7.399992,341.6,314.8,300.8,290.4,288.2,287.4,301,315.6,323,325.8,325.8,325.8,325.8,331,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,333,345.2,6.599988,23.19999,38.99999,45,45.39999,50.19999,57.59999,62.19999,63.99999,65.4,65.4,65.4,65.4,65.4,78.2
prac3 Start Time,1/29/2021 12:04:09 AM
prac3 End Time,1/29/2021 12:04:26 AM

